Date;Period;BE;DE;FR;NL;RAM
06/08/2016;11;0;0;1;0;4604
06/08/2016;11;-0.14988;0.01689;-0.06555;-0.21906;828.6094
06/08/2016;11;0.22934;-0.01643;0.09598;-0.05603;1336.7559
06/08/2016;11;-0.1103;-0.04061;-0.04734;0;250.8843
06/08/2016;11;-0.1028;-0.05925;-0.15351;0;271.1676
06/08/2016;11;0.21401;-0.01666;0.09747;-0.09219;1325.5177
06/08/2016;11;0;-1;0;0;4400
06/08/2016;11;0.22031;0.01865;-0.12108;0.11838;723.4783
06/08/2016;11;0;-0.07065;-0.17447;0;270.8432
06/08/2016;11;0.00927;-0.05717;-0.13603;0;222.6376
06/08/2016;11;-0.07331;0.00337;-0.03945;-0.22639;849.3562
06/08/2016;11;-0.10233;0.00812;-0.04888;0.30055;963.841
06/08/2016;11;0.07673;0.00125;0.00097;0.02048;333.2338
06/08/2016;11;0;-0.078;-0.17256;0;270.5456
06/08/2016;11;-1;0;0;0;4500
06/08/2016;11;-0.25078;0.01378;-0.08156;-0.24821;1080.5504
06/08/2016;11;-0.1078;-0.04694;-0.05548;0;241.0034
06/08/2016;11;-0.12531;-0.06607;-0.12531;0;240.7714
06/08/2016;11;-0.1102;-0.03742;-0.04533;0;250.8531
06/08/2016;11;-0.11025;-0.04029;-0.04698;0;250.9799
06/08/2016;11;-0.00411;-0.0802;-0.17102;0;270.8482
06/08/2016;11;-0.12346;-0.0748;-0.12346;0;241.0466
06/08/2016;11;0.10233;-0.00812;0.04888;-0.30055;1810.159
06/08/2016;11;-0.1096;-0.03766;-0.05689;0;240.8943
06/08/2016;11;-0.11026;-0.05166;-0.06632;0;240.6486
06/08/2016;11;-0.05012;-0.0585;-0.16597;0;270.5247
06/08/2016;11;0;0;-1;0;3396
06/08/2016;11;-0.11367;-0.05198;-0.06471;0;250.5333
06/08/2016;11;-0.01475;-0.06479;-0.17256;0;270.6407
06/08/2016;11;0.16727;-0.01511;0.09131;-0.17016;1424.4508
06/08/2016;12;0.22934;-0.01643;0.09607;-0.0564;1344.866
06/08/2016;12;-0.10883;-0.03399;-0.04298;0;247.8929
06/08/2016;12;-0.07331;0.00337;-0.03948;-0.23757;743.7105
06/08/2016;12;-0.13986;-0.07027;-0.13986;0;267.6149
06/08/2016;12;-0.0488;-0.05589;-0.16481;0;268.3222
06/08/2016;12;-0.10233;0.00812;-0.04892;0.28186;819.4484
06/08/2016;12;0.0182;-0.05355;-0.12911;0;221.6906
06/08/2016;12;-0.10857;-0.03825;-0.04429;0;247.5854
06/08/2016;12;-0.13709;-0.08337;-0.13709;0;267.5262
06/08/2016;12;0;-0.07979;-0.16995;0;267.9646
06/08/2016;12;0;-0.06665;-0.17337;0;268.0722
06/08/2016;12;0;-1;0;0;4400
06/08/2016;12;-0.10849;-0.03499;-0.04236;0;247.5767
06/08/2016;12;0.00182;-0.06526;-0.13924;0;222.1618
06/08/2016;12;-0.25078;0.01378;-0.08162;-0.24189;1133.655
06/08/2016;12;-0.00973;-0.06303;-0.17205;0;268.1812
06/08/2016;12;0;0;-1;0;3609
06/08/2016;12;-0.11246;-0.05151;-0.06444;0;247.6763
06/08/2016;12;-0.00064;-0.07981;-0.16979;0;267.9568
06/08/2016;12;0;0;1;0;4391
06/08/2016;12;0.16727;-0.01511;0.09137;-0.16625;1471.2772
06/08/2016;12;0.07673;0.00125;0.00095;0.02009;332.351
06/08/2016;12;-0.11862;-0.03904;-0.06117;0;260.5093
06/08/2016;12;0.21401;-0.01666;0.09756;-0.09132;1345.2558
06/08/2016;12;-0.14988;0.01689;-0.0656;-0.21661;829.8749
06/08/2016;12;-0.10598;-0.05728;-0.15114;0;267.7546
06/08/2016;12;-0.11063;-0.04785;-0.05628;0;247.7293
06/08/2016;12;0.22031;0.01865;-0.12108;0.11643;679.0633
06/08/2016;12;-0.00507;-0.0647;-0.1727;0;267.67
06/08/2016;13;-0.11003;-0.03681;-0.04447;0;251.0336
06/08/2016;13;-0.00975;-0.06414;-0.17391;0;270.8557
06/08/2016;13;-0.1142;-0.03805;-0.05939;0;250.7984
06/08/2016;13;0;-0.09166;-0.1917;0;302.5024
06/08/2016;13;-0.0109;-0.07168;-0.19437;0;302.7229
06/08/2016;13;0.07673;0.00125;0.00093;0.02048;321.2342
06/08/2016;13;-0.10949;-0.05092;-0.06334;0;240.8482
06/08/2016;13;-0.14989;0.01688;-0.06566;-0.21906;807.6074
06/08/2016;13;0.22031;0.01865;-0.12114;0.11838;652.4789
06/08/2016;13;-0.07331;0.00337;-0.03951;-0.2264;703.3598
06/08/2016;13;-0.10234;0.00812;-0.04896;0.30054;880.8448
06/08/2016;13;-0.10586;-0.03833;-0.04443;0;240.562
06/08/2016;13;-1;0;0;0;4500
06/08/2016;13;0;-0.06776;-0.17523;0;270.7467
06/08/2016;13;-0.12587;-0.06335;-0.12587;0;240.6202
06/08/2016;13;-0.10603;-0.03405;-0.0428;0;240.8725
06/08/2016;13;0;0;1;0;4010
06/08/2016;13;-0.05023;-0.05705;-0.16633;0;270.9778
06/08/2016;13;-0.25078;0.01378;-0.08168;-0.24821;1178.5516
06/08/2016;13;0.00318;-0.06603;-0.13864;0;222.9171
06/08/2016;13;0.22934;-0.01643;0.09617;-0.05603;1372.754
06/08/2016;13;0.02068;-0.05358;-0.12782;0;222.6684
06/08/2016;13;-0.10775;-0.04725;-0.05548;0;240.9073
06/08/2016;13;-0.12324;-0.07582;-0.12324;0;240.7282
06/08/2016;13;0.21402;-0.01665;0.09766;-0.09218;1366.5159
06/08/2016;13;-0.10973;-0.05793;-0.15224;0;270.5641
06/08/2016;13;0;-1;0;0;4400
06/08/2016;13;0.16727;-0.01511;0.09144;-0.17015;1471.4465
06/08/2016;14;-0.11202;-0.05751;-0.15181;0;270.69
06/08/2016;14;0;-0.07546;-0.19592;0;302.5666
06/08/2016;14;-0.0449;-0.24657;-0.38639;-0.14684;610.4792
06/08/2016;14;0;-0.08218;-0.17147;0;271.2389
06/08/2016;14;0.00701;0.17377;0.09127;-0.06217;817.607
06/08/2016;14;-0.01147;-0.07177;-0.19421;0;302.6934
06/08/2016;14;-0.12606;-0.06251;-0.12606;0;240.8825
06/08/2016;14;0;-1;0;0;4400
06/08/2016;14;-0.10955;-0.05122;-0.06369;0;240.7587
06/08/2016;14;-0.10595;-0.03368;-0.04234;0;240.9826
06/08/2016;14;0.03422;-0.19645;-0.0822;-0.27198;1403.5165
06/08/2016;14;0.02521;-0.05027;-0.05056;-0.03104;323.2339
06/08/2016;14;-0.10586;-0.03851;-0.0445;0;240.5069
06/08/2016;14;0.00915;0.27371;0.17828;0.01172;1129.5513
06/08/2016;14;0.0042;-0.06585;-0.13787;0;222.9652
06/08/2016;14;-0.1232;-0.07601;-0.1232;0;240.6689
06/08/2016;14;-0.10582;-0.03822;-0.04423;0;240.5941
06/08/2016;14;-0.10773;-0.04738;-0.05546;0;240.8668
06/08/2016;14;0.00467;0.08134;0.03849;-0.14842;669.3565
06/08/2016;14;-0.01026;-0.06421;-0.17376;0;270.8325
06/08/2016;14;-0.10574;-0.03512;-0.04236;0;240.5364
06/08/2016;14;0;0;1;0;3942
06/08/2016;14;-0.10999;-0.03577;-0.05725;0;241.4838
06/08/2016;14;-0.05023;-0.05706;-0.16632;0;270.9746
06/08/2016;14;-0.09041;-0.27279;-0.16628;-0.42783;1500.4469
06/08/2016;14;0.0123;0.12275;0.06571;0.41518;879.8414
06/08/2016;14;0.02331;-0.04673;-0.11162;0;200.6299
06/08/2016;15;-0.01075;-0.0633;-0.17188;0;268.0958
06/08/2016;15;-0.04896;-0.05627;-0.16481;0;268.2044
06/08/2016;15;-0.25077;0.01378;-0.0816;-0.24271;1189.9008
06/08/2016;15;-0.11407;-0.05479;-0.07118;0;247.7269
06/08/2016;15;-0.11438;-0.03737;-0.04531;0;260.8684
06/08/2016;15;-0.11857;-0.05498;-0.06869;0;260.6431
06/08/2016;15;0.00644;-0.06447;-0.13567;0;222.371
06/08/2016;15;-0.11902;-0.03806;-0.06156;0;260.817
06/08/2016;15;0;0;1;0;4000
06/08/2016;15;0.07766;0.00371;-0.01437;0.03297;272.4028
06/08/2016;15;0.01812;-0.05365;-0.1291;0;221.6595
06/08/2016;15;0;-0.08104;-0.16976;0;267.5752
06/08/2016;15;-0.14987;0.01689;-0.06558;-0.2168;858.9317
06/08/2016;15;-0.10233;0.00812;-0.04889;0.28658;931.0321
06/08/2016;15;0.07673;0.00125;0.00096;0.02014;313.3359
06/08/2016;15;0;-1;0;0;4400
